model_name,time_total_train,time_epoch,time_predict,time_system,explained_variance_nor,MAE_nor,MSE_nor,mean_squared_log_error_nor,r2_nor,RMSE_nor,MAPE_nor,SMAPE_nor,explained_variance_denor,MAE_denor,MSE_denor,mean_squared_log_error_denor,r2_denor,RMSE_denor,MAPE_denor,SMAPE_denor
"ELM-sliding_3-net_para_{'hidden_size': (5000, False), 'activation': 0}",0.0068,,0.00110197,0.0088,0.9958,0.0119,0.0003,0.0001,0.9958,0.0166,4.2249,4.2124,0.9958,11.4777,256.5882,0.0018,0.9958,16.0184,2.9279,2.9266
"ELM-sliding_5-net_para_{'hidden_size': (5000, False), 'activation': 0}",0.0118,,0.00155973,0.015,0.9959,0.0117,0.0003,0.0001,0.9959,0.0163,4.1699,4.1561,0.9959,11.2527,247.8772,0.0018,0.9959,15.7441,2.8826,2.8805
"ELM-sliding_2-net_para_{'hidden_size': (10, False), 'activation': 0}",0.0069,,0.00145364,0.0097,0.9957,0.0123,0.0003,0.0001,0.9956,0.0169,4.4913,4.4138,0.9957,11.9209,266.9061,0.0019,0.9956,16.3373,3.0879,3.0591
"ELM-sliding_3-net_para_{'hidden_size': (10, False), 'activation': 0}",0.0104,,0.00180888,0.0137,0.9958,0.0119,0.0003,0.0001,0.9958,0.0166,4.2249,4.2124,0.9958,11.4777,256.5882,0.0018,0.9958,16.0184,2.9279,2.9266
"ELM-sliding_5-net_para_{'hidden_size': (10, False), 'activation': 0}",0.0197,,0.0025661,0.0243,0.9959,0.0117,0.0003,0.0001,0.9959,0.0163,4.1699,4.1561,0.9959,11.2527,247.8772,0.0018,0.9959,15.7441,2.8826,2.8805
"ELM-sliding_2-net_para_{'hidden_size': (50, False), 'activation': 0}",0.0088,,0.00139594,0.0116,0.9958,0.0122,0.0003,0.0001,0.9956,0.0168,4.4546,4.3832,0.9958,11.82,263.3862,0.0019,0.9956,16.2292,3.0626,3.037
"ELM-sliding_3-net_para_{'hidden_size': (50, False), 'activation': 0}",0.0113,,0.00185609,0.0146,0.9958,0.0119,0.0003,0.0001,0.9958,0.0166,4.2249,4.2124,0.9958,11.4777,256.5882,0.0018,0.9958,16.0184,2.9279,2.9266
"ELM-sliding_5-net_para_{'hidden_size': (50, False), 'activation': 0}",0.0196,,0.00256205,0.0242,0.9959,0.0118,0.0003,0.0001,0.9958,0.0164,4.2432,4.2036,0.9959,11.3825,250.7812,0.0018,0.9958,15.8361,2.927,2.9133
"ELM-sliding_2-net_para_{'hidden_size': (200, False), 'activation': 0}",0.0086,,0.00140047,0.0116,0.9958,0.0119,0.0003,0.0001,0.9958,0.0166,4.2234,4.2113,0.9958,11.4784,256.5431,0.0018,0.9958,16.017,2.9274,2.9262
"ELM-sliding_3-net_para_{'hidden_size': (200, False), 'activation': 0}",0.0114,,0.00178313,0.0147,0.9958,0.0119,0.0003,0.0001,0.9958,0.0166,4.2249,4.2124,0.9958,11.4777,256.5882,0.0018,0.9958,16.0184,2.9279,2.9266
